CPI for All Urban Consumers (CPI-U),,,,,
Original Data Value,,,,,
,,,,,
Series Id:,CUUR0000SA0,,,,
Not Seasonally Adjusted,,,,,
Series Title:,"All items in U.S. city average, all urban consumers, not seasonally adjusted",,,,
Area:,U.S. city average,,,,
Item:,All items,,,,
Base Period:,1982-84=100,,,,
Years:,2002 to 2022,,,,
,,,,,
Year,Annual,,,,
2002,179.9,,,,
2003,184.0,,,,
2004,188.9,,,,
2005,195.3,,,,
2006,201.6,,,,
2007,207.342,,,,
2008,215.303,,,,
2009,214.537,,,,
2010,218.056,,,,
2011,224.939,,,,
2012,229.594,,,,
2013,232.957,,,,
2014,236.736,,,,
2015,237.017,,,,
2016,240.007,,,,
2017,245.120,,,,
2018,251.107,,,,
2019,255.657,,,,
2020,258.811,,,,
2021,270.970,,,,
2022,292.655,,,,
